ema_period,sma_period,rsi_period,composite_score,total_trades,win_rate,profit_factor,total_return,total_profit,gross_profit,gross_loss,avg_trade,avg_winning_trade,avg_losing_trade,max_drawdown,intra_trade_max_dd,sharpe_ratio,sortino_ratio,omega_ratio,final_value,winning_trades,losing_trades,profit_factor_zone,sharpe_ratio_zone,sortino_ratio_zone,win_rate_zone,intra_trade_max_dd_zone,omega_ratio_zone,total_trades_zone
20,40,14,2.9,2,100.0,inf,12.62717729640055,12627.17729640055,12627.17729640055,0.0,6313.588648200275,6313.588648200275,0.0,1.8950582389349213,1.8950582389349213,16.10702888825316,inf,inf,112627.17729640055,2,0,green,green,green,green,green,green,red
20,50,14,2.9,2,100.0,inf,14.684101659724533,14684.101659724533,14684.101659724533,0.0,7342.050829862266,7342.050829862266,0.0,0.10000000000000074,0.10000000000000074,23.431529403796475,inf,inf,114684.10165972453,2,0,green,green,green,green,green,green,red
25,40,14,2.9,2,100.0,inf,12.62717729640055,12627.17729640055,12627.17729640055,0.0,6313.588648200275,6313.588648200275,0.0,1.8950582389349213,1.8950582389349213,16.10702888825316,inf,inf,112627.17729640055,2,0,green,green,green,green,green,green,red
20,60,14,2.4999999999999996,3,66.66666666666666,18.65172085910847,20.634742495697267,20634.742495697268,21803.73574346039,1168.9932477631228,6878.247498565756,10901.867871730195,-1168.9932477631228,1.160331411563859,1.160331411563859,16.227904669980628,0.0,24.306012746073538,120634.74249569727,2,1,green,green,red,green,green,green,red
25,30,14,2.4999999999999996,4,75.0,19.907817196409244,28.97564204394024,28975.642043940243,30508.110955763812,1532.4689118235692,7243.910510985061,10169.370318587937,-1532.4689118235692,11.580767796141943,11.580767796141943,15.743494163193217,0.0,22.98129615483263,128975.64204394024,3,1,green,green,red,green,green,green,red
25,60,14,2.4999999999999996,5,80.0,5.804975465473818,22.20027057445211,22200.270574452108,26820.537781636056,4620.267207183948,4440.054114890421,6705.134445409014,-4620.267207183948,4.720267207183948,4.720267207183948,10.141631981623854,0.0,5.845452932167693,122200.27057445211,4,1,green,green,red,green,green,green,red
10,60,10,2.4,7,71.42857142857143,1.2926807948511543,3.42543020886727,3425.4302088672703,15129.068674825743,11703.638465958473,489.34717269532433,3025.813734965149,-5851.819232979236,9.849627535587905,9.849627535587905,2.2020800007440324,3.086082849173106,1.4194915310500598,103425.43020886727,5,2,red,green,green,green,green,green,red
15,20,10,2.35,2,50.0,5.949308529985418,15.318471214272941,15318.47121427294,18413.544217191607,3095.073002918667,7659.23560713647,18413.544217191607,-3095.073002918667,11.077217541234615,11.077217541234615,8.184622695198582,0.0,6.3840012729371,115318.47121427294,1,1,green,green,red,yellow,green,green,red
15,20,14,2.35,2,50.0,5.949308529985418,15.318471214272941,15318.47121427294,18413.544217191607,3095.073002918667,7659.23560713647,18413.544217191607,-3095.073002918667,11.077217541234615,11.077217541234615,8.184622695198582,0.0,6.3840012729371,115318.47121427294,1,1,green,green,red,yellow,green,green,red
20,30,14,2.35,2,50.0,27.72631254096522,10.188777545293966,10188.777545293968,10570.004006283561,381.22646098959376,5094.388772646984,10570.004006283561,-381.22646098959376,0.48122646098959376,0.48122646098959376,10.650934075002565,0.0,38.10880635760906,110188.77754529397,1,1,green,green,red,yellow,green,green,red
25,30,18,2.35,2,50.0,7.78147663602963,9.122422502993096,9122.422502993097,10467.619573278076,1345.1970702849794,4561.211251496548,10467.619573278076,-1345.1970702849794,1.4451970702849795,1.4451970702849795,8.888676042864995,0.0,8.609203282450991,109122.4225029931,1,1,green,green,red,yellow,green,green,red
25,30,10,2.1999999999999997,9,55.55555555555556,1.1963719051604145,7.261108057435063,7261.1080574350635,44237.416106712946,36976.30804927788,806.7897841594515,8847.483221342589,-9244.07701231947,17.271867768539618,17.271867768539618,1.9579307038913534,3.9382698113555903,1.4326898942400021,107261.10805743506,5,4,red,yellow,green,green,green,green,red
5,40,10,2.0999999999999996,1,100.0,inf,1.279241937975952,1279.2419379759522,1279.2419379759522,0.0,1279.2419379759522,1279.2419379759522,0.0,0.10000000000000167,0.10000000000000167,0.0,0.0,inf,101279.24193797595,1,0,green,red,red,green,green,green,red
15,40,14,2.0999999999999996,1,100.0,inf,3.6762079459836534,3676.207945983653,3676.207945983653,0.0,3676.207945983653,3676.207945983653,0.0,0.09999999999999847,0.09999999999999847,0.0,0.0,inf,103676.20794598365,1,0,green,red,red,green,green,green,red
15,50,14,2.0999999999999996,1,100.0,inf,10.62111562512396,10621.115625123959,10621.115625123959,0.0,10621.115625123959,10621.115625123959,0.0,0.09999999999999608,0.09999999999999608,0.0,0.0,inf,110621.11562512396,1,0,green,red,red,green,green,green,red
15,50,18,2.0999999999999996,1,100.0,inf,10.62111562512396,10621.115625123959,10621.115625123959,0.0,10621.115625123959,10621.115625123959,0.0,0.09999999999999608,0.09999999999999608,0.0,0.0,inf,110621.11562512396,1,0,green,red,red,green,green,green,red
20,30,18,2.0999999999999996,1,100.0,inf,10.62111562512396,10621.115625123959,10621.115625123959,0.0,10621.115625123959,10621.115625123959,0.0,0.09999999999999608,0.09999999999999608,0.0,0.0,inf,110621.11562512396,1,0,green,red,red,green,green,green,red
20,40,18,2.0999999999999996,1,100.0,inf,10.62111562512396,10621.115625123959,10621.115625123959,0.0,10621.115625123959,10621.115625123959,0.0,0.09999999999999608,0.09999999999999608,0.0,0.0,inf,110621.11562512396,1,0,green,red,red,green,green,green,red
20,50,18,2.0999999999999996,1,100.0,inf,10.62111562512396,10621.115625123959,10621.115625123959,0.0,10621.115625123959,10621.115625123959,0.0,0.09999999999999608,0.09999999999999608,0.0,0.0,inf,110621.11562512396,1,0,green,red,red,green,green,green,red
20,60,18,2.0999999999999996,1,100.0,inf,10.62111562512396,10621.115625123959,10621.115625123959,0.0,10621.115625123959,10621.115625123959,0.0,0.09999999999999608,0.09999999999999608,0.0,0.0,inf,110621.11562512396,1,0,green,red,red,green,green,green,red
